topic_id,n,p_supports,p_neutral,p_refutes,entropy_bits,entropy_bits_mm,k_observed,truth_direction,truth_divergence_rate
T01,29,1.0,0.0,0.0,-0.0,0.0,1,SUPPORTS,0.0
T02,30,0.03333333333333333,0.03333333333333333,0.9333333333333333,0.420026001688088,0.4681158363843868,3,REFUTES,0.06666666666666665
T03,30,1.0,0.0,0.0,-0.0,0.0,1,NEUTRAL,1.0
T04,29,1.0,0.0,0.0,-0.0,0.0,1,SUPPORTS,0.0
T05,29,0.6206896551724138,0.0,0.3793103448275862,0.9575534837147482,0.9824275361438684,2,REFUTES,0.6206896551724138
T06,29,0.0,0.0,1.0,-0.0,0.0,1,REFUTES,0.0
T07,29,1.0,0.0,0.0,-0.0,0.0,1,SUPPORTS,0.0
T08,30,0.0,0.06666666666666667,0.9333333333333333,0.35335933502142136,0.37740425236957076,2,REFUTES,0.06666666666666665
T09,29,0.13793103448275862,0.06896551724137931,0.7931034482758621,0.9255008230823549,0.975248927940595,3,REFUTES,0.2068965517241379
T10,29,0.6551724137931034,0.27586206896551724,0.06896551724137931,1.1783043483886713,1.2280524532469115,3,SUPPORTS,0.3448275862068966
T11,28,0.0,0.03571428571428571,0.9642857142857143,0.222284830685688,0.24804724213013377,2,REFUTES,0.0357142857142857
T12,29,1.0,0.0,0.0,-0.0,0.0,1,NEUTRAL,1.0
