topic_id,n,p_supports,p_neutral,p_refutes,entropy_bits,entropy_bits_mm,k_observed,truth_direction,truth_divergence_rate
T01,29,1.0,0.0,0.0,-0.0,0.0,1,SUPPORTS,0.0
T02,28,0.25,0.07142857142857142,0.6785714285714286,1.1515653788493414,1.203090201738233,3,REFUTES,0.3214285714285714
T03,30,1.0,0.0,0.0,-0.0,0.0,1,NEUTRAL,1.0
T04,30,0.9666666666666667,0.03333333333333333,0.0,0.21084230031853213,0.23488721766668152,2,SUPPORTS,0.033333333333333326
T05,29,0.4827586206896552,0.0,0.5172413793103449,0.9991421039919088,1.0240161564210288,2,REFUTES,0.48275862068965514
T06,30,0.1,0.06666666666666667,0.8333333333333334,0.8118475207241324,0.8599373554204311,3,REFUTES,0.16666666666666663
T07,30,0.9333333333333333,0.03333333333333333,0.03333333333333333,0.420026001688088,0.4681158363843868,3,SUPPORTS,0.06666666666666665
T08,30,0.03333333333333333,0.0,0.9666666666666667,0.21084230031853213,0.23488721766668152,2,REFUTES,0.033333333333333326
T09,28,0.8214285714285714,0.07142857142857142,0.10714285714285714,0.8503259045049341,0.9018507273938257,3,REFUTES,0.8928571428571429
T10,29,0.7931034482758621,0.034482758620689655,0.1724137931034483,0.869995979136258,0.9197440839944981,3,SUPPORTS,0.2068965517241379
T11,29,0.7931034482758621,0.034482758620689655,0.1724137931034483,0.869995979136258,0.9197440839944981,3,REFUTES,0.8275862068965517
T12,28,1.0,0.0,0.0,-0.0,0.0,1,NEUTRAL,1.0
