topic_id,source,n_total,n_with_estimate,mean_effect,sd_effect,cv
T01,ai,30,30,0.4983333333333333,0.03006697504747938,0.06033506698490846
T02,ai,30,28,4.340357142857141,17.76763901490632,4.093589174832363
T03,ai,30,0,,,
T04,ai,30,29,0.34620689655172415,0.0685780990187438,0.19808415055214842
T05,ai,30,30,1.9836666666666667,0.5168370872070267,0.26054633870292054
T06,ai,30,30,1.0396666666666667,0.058515151785719116,0.056282608322269105
T07,ai,30,25,0.36839999999999995,0.017953644012660315,0.04873410426889337
T08,ai,30,29,0.9179310344827588,0.09972746112512368,0.10864374051948107
T09,ai,30,4,12.625,13.134782068995284,1.0403787777422007
T10,ai,30,30,0.6423333333333334,0.05443650735796091,0.08474806542495211
T11,ai,30,9,1.7133333333333336,1.48435171034361,0.8663531383328461
T12,ai,30,30,0.5196666666666666,0.023705569450838033,0.045616875145935924
T01,human,10,3,17.033333333333335,28.550603029241493,1.6761606475092852
T02,human,10,3,0.9066666666666666,0.2709858544893687,0.29888145715739195
T03,human,10,1,,,
T04,human,10,4,5.899249999999999,8.413295167966789,1.4261635238321464
T05,human,10,4,9.34,17.11235615960974,1.832158047067424
T06,human,10,2,,,
T07,human,10,4,1.4775,0.7278449926552586,0.49261928436904134
T08,human,10,3,1.53,1.6623176591734807,1.0864821301787455
T09,human,10,1,,,
T10,human,10,4,2.5375,1.6902736464844974,0.666117693195861
T11,human,10,1,,,
T12,human,10,3,32.583333333333336,53.203434412952454,1.632841976868106
