topic_id,source,n_total,n_with_estimate,mean_effect,sd_effect,cv
T01,ai,30,21,4.732285714285715,10.570356461079527,2.2336682734877944
T02,ai,30,24,20.524083333333333,39.02709618570674,1.901526881949583
T03,ai,30,6,1.6633333333333333,0.2041241452319315,0.1227199269931452
T04,ai,30,6,16.113333333333333,38.64644856473446,2.3984142675673024
T05,ai,30,22,0.827727272727273,0.9297154291614069,1.1232146865211943
T06,ai,30,30,1.2526666666666666,0.21494078307730496,0.17158657510162717
T07,ai,30,18,12.584444444444445,30.779933154042432,2.4458714319828876
T08,ai,30,14,23.055,39.74932815107116,1.724108789896819
T09,ai,30,8,6.5375,4.564126422438362,0.6981455330689657
T10,ai,30,0,,,
T11,ai,30,9,0.7766666666666667,0.8553654189876979,1.1013288656493965
T12,ai,30,26,0.468076923076923,0.06939851472584875,0.14826305528940573
T01,human,10,3,17.033333333333335,28.550603029241493,1.6761606475092852
T02,human,10,3,0.9066666666666666,0.2709858544893687,0.29888145715739195
T03,human,10,1,,,
T04,human,10,4,5.899249999999999,8.413295167966789,1.4261635238321464
T05,human,10,4,9.34,17.11235615960974,1.832158047067424
T06,human,10,2,,,
T07,human,10,4,1.4775,0.7278449926552586,0.49261928436904134
T08,human,10,3,1.53,1.6623176591734807,1.0864821301787455
T09,human,10,1,,,
T10,human,10,4,2.5375,1.6902736464844974,0.666117693195861
T11,human,10,1,,,
T12,human,10,3,32.583333333333336,53.203434412952454,1.632841976868106
