topic_id,source,n_total,n_with_estimate,mean_effect,sd_effect,cv
T01,ai,30,26,1.5773076923076923,5.797918631848714,3.6758323440152783
T02,ai,30,23,0.922782608695652,0.09912111806991902,0.10741545964983688
T03,ai,30,2,,,
T04,ai,30,20,2.7964999999999995,10.641342552318738,3.805236028005986
T05,ai,30,17,1.4141176470588235,1.2554235282541577,0.8877787013444544
T06,ai,30,26,1.0576923076923077,0.2996705883774074,0.2833249199204579
T07,ai,30,10,23.415000000000003,37.66893068417112,1.6087521112180705
T08,ai,30,8,4.512499999999999,10.311949725578433,2.2851966150866336
T09,ai,30,3,0.7233333333333333,0.45763886781318447,0.6326804624145408
T10,ai,30,9,2.261111111111111,2.274661757517172,1.0059929148724593
T11,ai,30,6,1.0050000000000001,0.65795896528583,0.6546855375978406
T12,ai,30,25,0.47680000000000006,0.10486976049684994,0.21994496748500406
T01,human,10,3,17.033333333333335,28.550603029241493,1.6761606475092852
T02,human,10,3,0.9066666666666666,0.2709858544893687,0.29888145715739195
T03,human,10,1,,,
T04,human,10,4,5.899249999999999,8.413295167966789,1.4261635238321464
T05,human,10,4,9.34,17.11235615960974,1.832158047067424
T06,human,10,2,,,
T07,human,10,4,1.4775,0.7278449926552586,0.49261928436904134
T08,human,10,3,1.53,1.6623176591734807,1.0864821301787455
T09,human,10,1,,,
T10,human,10,4,2.5375,1.6902736464844974,0.666117693195861
T11,human,10,1,,,
T12,human,10,3,32.583333333333336,53.203434412952454,1.632841976868106
