topic_id,n_ai,n_human,ai_dispersion,human_dispersion,ratio_ai_to_human
T01,30,10,0.5936397022051826,0.8814432263721982,0.6734860334096121
T02,30,10,0.6017249619909321,0.9304323588863037,0.646715428847699
T03,30,10,0.6318229893132604,0.9319664836368905,0.6779460424881857
T04,30,10,0.5751531116543368,0.9004951822583824,0.638707594428091
T05,30,10,0.5594053561657983,0.8826417546458878,0.6337852851638879
T06,30,10,0.5621477431965908,0.9284693883174462,0.6054564105934648
T07,30,10,0.5941468011156456,0.8996062313305078,0.6604520738333581
T08,30,10,0.583282698457694,0.9071475392348576,0.6429854827690648
T09,30,10,0.5885241230836831,0.8496318847726624,0.6926813054351834
T10,30,10,0.6020914992714508,0.8387127629721627,0.7178756850412141
T11,30,10,0.5812525936472234,0.9344570984458606,0.6220217007435995
T12,30,10,0.5677297742149083,0.8696866339924209,0.6527980907429423
