topic_id,n_ai,n_human,ai_dispersion,human_dispersion,ratio_ai_to_human
T01,30,10,0.5544153979958306,0.884909419603814,0.6265222018362625
T02,30,10,0.5876731668703271,0.9272964061345211,0.6337489965264402
T03,30,10,0.5788686456113514,0.9349001484266679,0.6191769747662598
T04,30,10,0.4966527566110988,0.9035713762762807,0.5496552565198122
T05,30,10,0.5354320092570335,0.8871680836588338,0.6035293865045502
T06,30,10,0.5990162541902359,0.9265921699895239,0.6464723894623547
T07,30,10,0.5722276598863129,0.9002707537269669,0.6356172934835307
T08,30,10,0.5939885339344737,0.9032488865693259,0.6576133585843995
T09,30,10,0.5697403204011684,0.8512045077371443,0.6693342378035276
T10,30,10,0.523234104260295,0.8417356944888149,0.6216133017598291
T11,30,10,0.5432832988546317,0.9327819549744978,0.5824333285579962
T12,30,10,0.5389234922058216,0.8680195616194705,0.6208656072224318
