topic_id,n_ai,n_human,ai_dispersion,human_dispersion,ratio_ai_to_human
T01,30,10,0.7135355422380752,0.8874245438938846,0.8040520708467103
T02,30,10,0.675941493470228,0.9310938873026784,0.7259649136226088
T03,30,10,0.7044493340734836,0.9313357255569078,0.7563860321714239
T04,30,10,0.6377061962055092,0.9037673631036702,0.7056087907573163
T05,30,10,0.6929843044359881,0.8847936281924405,0.7832157492495705
T06,30,10,0.6665387745751151,0.925829553729836,0.7199368089837583
T07,30,10,0.6776272041192067,0.9029297118016016,0.7504761392413898
T08,30,10,0.6205401763628727,0.9134413825454478,0.6793431830662632
T09,30,10,0.7042522825144681,0.8489217532730269,0.8295844461509155
T10,30,10,0.6978164705417773,0.8487875238356375,0.8221332794671299
T11,30,10,0.7050512262512965,0.9345957433132631,0.7543916514661178
T12,30,10,0.660480474751751,0.8676346440407597,0.7612426259004048
