topic_id,n,p_supports,p_neutral,p_refutes,entropy_bits,truth_direction,truth_divergence_rate
T01,30,1.0,0.0,0.0,-0.0,SUPPORTS,0.0
T02,30,1.0,0.0,0.0,-0.0,SUPPORTS,0.0
T03,29,1.0,0.0,0.0,-0.0,SUPPORTS,0.0
T04,30,1.0,0.0,0.0,-0.0,SUPPORTS,0.0
T05,29,0.1724137931034483,0.41379310344827586,0.41379310344827586,1.4907830471363805,SUPPORTS,0.8275862068965517
T06,30,0.9666666666666667,0.0,0.03333333333333333,0.21084230031853213,SUPPORTS,0.033333333333333326
T07,30,0.2,0.6333333333333333,0.16666666666666666,1.3125559878021227,REFUTES,0.8333333333333334
T08,30,0.0,0.2,0.8,0.7219280948873623,REFUTES,0.19999999999999996
T09,30,0.0,0.0,1.0,-0.0,REFUTES,0.0
T10,30,0.7666666666666667,0.03333333333333333,0.2,0.9218339291539106,REFUTES,0.8
T11,30,1.0,0.0,0.0,-0.0,NEUTRAL,1.0
T12,30,0.8666666666666667,0.13333333333333333,0.0,0.5665095065529053,NEUTRAL,0.8666666666666667
