topic_id,n,p_supports,p_neutral,p_refutes,entropy_bits,truth_direction,truth_divergence_rate
T01,29,0.9310344827586207,0.034482758620689655,0.034482758620689655,0.4310167689753773,SUPPORTS,0.06896551724137934
T02,30,1.0,0.0,0.0,-0.0,SUPPORTS,0.0
T03,30,1.0,0.0,0.0,-0.0,SUPPORTS,0.0
T04,30,0.9666666666666667,0.03333333333333333,0.0,0.21084230031853213,SUPPORTS,0.033333333333333326
T05,30,0.5333333333333333,0.2,0.26666666666666666,1.456564762130954,SUPPORTS,0.4666666666666667
T06,30,1.0,0.0,0.0,-0.0,SUPPORTS,0.0
T07,30,0.23333333333333334,0.2,0.5666666666666667,1.418619670275654,REFUTES,0.43333333333333335
T08,30,0.23333333333333334,0.16666666666666666,0.6,1.3628980971151297,REFUTES,0.4
T09,30,0.26666666666666666,0.06666666666666667,0.6666666666666666,1.158938532350277,REFUTES,0.33333333333333337
T10,30,0.1,0.06666666666666667,0.8333333333333334,0.8118475207241324,REFUTES,0.16666666666666663
T11,30,0.8,0.13333333333333333,0.06666666666666667,0.9055872616982603,NEUTRAL,0.8666666666666667
T12,30,0.9333333333333333,0.03333333333333333,0.03333333333333333,0.420026001688088,NEUTRAL,0.9666666666666667
