topic_id,source,n_total,n_with_estimate,mean_effect,sd_effect,cv
T01,ai,30,30,35.19233333333333,46.28477083889684,1.3151947158632138
T02,ai,30,30,41.58133333333333,47.51184467443688,1.1426243668898757
T03,ai,30,30,79.23566666666666,35.852730832684415,0.45248222600955484
T04,ai,30,30,88.71033333333334,23.936093721484255,0.2698230614413682
T05,ai,30,30,88.71433333333334,23.920871521911902,0.26963930881419274
T06,ai,30,30,79.23800000000001,35.84742412714928,0.4524019299723526
T07,ai,30,30,44.876666666666665,47.687644776900186,1.0626378543467323
T08,ai,30,30,95.0,0.0,0.0
T09,ai,30,30,20.511333333333333,37.90261038534138,1.847886228036925
T10,ai,30,30,91.85600000000001,17.22039720796242,0.18747166443087462
T11,ai,30,30,19.98833333333333,38.147561505954414,1.9084913619255108
T12,ai,30,30,1.2893333333333339,0.29181871242183943,0.22633302411207806
T01,human,10,3,17.033333333333335,28.550603029241493,1.6761606475092852
T02,human,10,3,30.063333333333333,43.4223678918289,1.4443630521730424
T03,human,10,3,7.682333333333332,9.332683769063072,1.214824111909976
T04,human,10,3,1.7233333333333334,1.3831967804088228,0.8026286926937076
T05,human,10,3,3.0533333333333332,1.639827226671558,0.5370613187788945
T06,human,10,4,1.4775,0.7278449926552586,0.49261928436904134
T07,human,10,3,1.2733333333333334,0.2950141239556733,0.23168648478194234
T08,human,10,3,0.9066666666666666,0.2709858544893687,0.29888145715739195
T09,human,10,3,1.53,1.6623176591734807,1.0864821301787455
T10,human,10,4,9.34,17.11235615960974,1.832158047067424
T11,human,10,1,,,
T12,human,10,4,9.520000000000001,15.943820119406768,1.6747710209460889
