topic_id,source,n_total,n_with_estimate,mean_effect,sd_effect,cv
T01,ai,30,30,82.41466666666665,32.63495658438001,0.3959848156199545
T02,ai,30,30,69.90733333333333,42.32284407473951,0.6054135103814504
T03,ai,30,30,91.846,17.275169463712942,0.18808842479490606
T04,ai,30,29,75.48413793103448,38.886415780655454,0.5151600964984688
T05,ai,30,28,34.52928571428571,45.89952028544375,1.329292492907082
T06,ai,30,29,91.74758620689654,17.51478429685953,0.1909018538903312
T07,ai,30,30,63.59566666666667,45.17208526813062,0.7103013088124026
T08,ai,30,30,66.78733333333334,43.832290485387624,0.6562964606869709
T09,ai,30,24,75.39999999999999,39.02921681532171,0.5176288702297309
T10,ai,30,30,35.342333333333336,46.16909764254048,1.3063398278515983
T11,ai,30,28,48.121071428571426,47.73924609090557,0.9920653192805022
T12,ai,30,26,44.46923076923076,47.709203382414756,1.0728587510316414
T01,human,10,3,17.033333333333335,28.550603029241493,1.6761606475092852
T02,human,10,3,30.063333333333333,43.4223678918289,1.4443630521730424
T03,human,10,3,7.682333333333332,9.332683769063072,1.214824111909976
T04,human,10,3,1.7233333333333334,1.3831967804088228,0.8026286926937076
T05,human,10,3,3.0533333333333332,1.639827226671558,0.5370613187788945
T06,human,10,4,1.4775,0.7278449926552586,0.49261928436904134
T07,human,10,3,1.2733333333333334,0.2950141239556733,0.23168648478194234
T08,human,10,3,0.9066666666666666,0.2709858544893687,0.29888145715739195
T09,human,10,3,1.53,1.6623176591734807,1.0864821301787455
T10,human,10,4,9.34,17.11235615960974,1.832158047067424
T11,human,10,1,,,
T12,human,10,4,9.520000000000001,15.943820119406768,1.6747710209460889
