topic_id,source,n_total,n_with_estimate,mean_effect,sd_effect,cv
T01,ai,30,29,1.7255172413793103,6.785624292895605,3.9325160770178367
T02,ai,30,27,0.7581481481481481,0.07761032034054378,0.10236827792841632
T03,ai,30,26,4.038846153846155,18.552725368942017,4.593570703671006
T04,ai,30,26,1.6438461538461537,5.37664957156263,3.2707741895327183
T05,ai,30,25,3.6392,14.243105033664534,3.9138011193846265
T06,ai,30,21,0.4371428571428571,0.10977899877220858,0.25112842856387585
T07,ai,30,14,1.0535714285714288,0.47300361265260715,0.44895258150077955
T08,ai,30,24,4.807083333333333,19.21208982570648,3.9966209223971187
T09,ai,30,21,0.7052380952380953,0.3931745038480884,0.5575060486704831
T10,ai,30,27,1.1207407407407408,0.38779381839328686,0.3460156343892513
T11,ai,30,15,13.354666666666668,33.1484362627661,2.4821612616887547
T12,ai,30,20,14.949000000000002,34.50413291797162,2.308123146563089
T01,human,10,3,17.033333333333335,28.550603029241493,1.6761606475092852
T02,human,10,3,30.063333333333333,43.4223678918289,1.4443630521730424
T03,human,10,3,7.682333333333332,9.332683769063072,1.214824111909976
T04,human,10,3,1.7233333333333334,1.3831967804088228,0.8026286926937076
T05,human,10,3,3.0533333333333332,1.639827226671558,0.5370613187788945
T06,human,10,4,1.4775,0.7278449926552586,0.49261928436904134
T07,human,10,3,1.2733333333333334,0.2950141239556733,0.23168648478194234
T08,human,10,3,0.9066666666666666,0.2709858544893687,0.29888145715739195
T09,human,10,3,1.53,1.6623176591734807,1.0864821301787455
T10,human,10,4,9.34,17.11235615960974,1.832158047067424
T11,human,10,1,,,
T12,human,10,4,9.520000000000001,15.943820119406768,1.6747710209460889
