topic_id,n_ai,n_human,ai_dispersion,human_dispersion,ratio_ai_to_human
T01,30,10,0.5206530443916287,0.8957171223116873,0.5812695006297472
T02,30,10,0.5676960743466118,0.8850058212505401,0.6414602714640227
T03,30,10,0.4579217203464102,0.917623168459372,0.49903025129065803
T04,30,10,0.5902819161551429,0.9269826949272257,0.63677770834922
T05,30,10,0.5228037177807812,0.8675408763973442,0.6026271868039688
T06,30,10,0.5873224990052173,0.9069493403298077,0.6475802703507567
T07,30,10,0.548033957336491,0.8696119655154487,0.6302051708909646
T08,30,10,0.5828334487760225,0.9346514269979712,0.623583757474205
T09,30,10,0.5202588116347017,0.9129086751178902,0.5698914095295644
T10,30,10,0.5827188839057634,0.8917065020477186,0.6534873106426894
T11,30,10,0.5765144853151263,0.9351345215389334,0.6165043339073476
T12,30,10,0.546184232948511,0.8753497525366697,0.6239611439492931
