topic_id,n_ai,n_human,ai_dispersion,human_dispersion,ratio_ai_to_human
T06,30,10,0.6116291790420142,0.9091384656444556,0.6727569035465376
T01,30,10,0.697757959347125,0.8964142003056363,0.7783878915675604
T02,30,10,0.6176699766447099,0.8904906103823683,0.6936288484608369
T03,30,10,0.5309587718444932,0.9196434395774867,0.5773528619835885
T04,30,10,0.5965716377772843,0.9270670002572339,0.6435043396127282
T05,30,10,0.6247462042140378,0.8737986918952315,0.7149772710908852
T07,30,10,0.5570710061926905,0.8730768288403841,0.6380549658299707
T08,30,10,0.6559712414422227,0.9347902378677038,0.7017309497567293
T09,30,10,0.6343453715662042,0.9172913233661026,0.6915418857756152
T10,30,10,0.7009364581332296,0.8886064124070041,0.7888041863602747
T11,30,10,0.6595982745267834,0.9365891568550814,0.7042557237600426
T12,30,10,0.6530341901748162,0.8798866063204089,0.742179941692413
