topic_id,source,n,mean_v_score,max_v_score,pct_valid_all_8,pct_pass_v1,pct_pass_v2,pct_pass_v3,pct_pass_v4,pct_pass_v5,pct_pass_v6,pct_pass_v7,pct_pass_v8
T01,ai,30,6.0344827586206895,8,33.33333333333333,51.724137931034484,100.0,82.75862068965517,65.51724137931035,89.65517241379311,100.0,65.51724137931035,48.275862068965516
T01,human,10,3.5,8,20.0,60.0,50.0,30.0,30.0,60.0,30.0,50.0,40.0
T02,ai,30,5.9,8,33.33333333333333,66.66666666666666,96.66666666666667,66.66666666666666,66.66666666666666,80.0,93.33333333333333,60.0,60.0
T02,human,10,5.0,8,10.0,60.0,70.0,70.0,40.0,60.0,70.0,70.0,60.0
T03,ai,30,5.066666666666666,8,6.666666666666667,43.333333333333336,100.0,40.0,33.33333333333333,90.0,100.0,63.33333333333333,36.666666666666664
T03,human,10,3.5,8,10.0,70.0,60.0,30.0,10.0,60.0,50.0,40.0,30.0
T04,ai,30,5.566666666666666,8,20.0,50.0,93.33333333333333,53.333333333333336,50.0,93.33333333333333,90.0,80.0,46.666666666666664
T04,human,10,5.0,8,20.0,70.0,60.0,60.0,40.0,90.0,50.0,80.0,50.0
T05,ai,30,6.433333333333334,8,43.333333333333336,56.666666666666664,96.66666666666667,93.33333333333333,86.66666666666667,93.33333333333333,96.66666666666667,63.33333333333333,56.666666666666664
T05,human,10,5.8,8,10.0,100.0,100.0,50.0,20.0,90.0,60.0,90.0,70.0
T06,ai,30,5.4,8,10.0,46.666666666666664,96.66666666666667,66.66666666666666,43.333333333333336,96.66666666666667,76.66666666666667,73.33333333333333,40.0
T06,human,10,3.9,8,10.0,60.0,50.0,40.0,20.0,70.0,40.0,70.0,40.0
T07,ai,30,6.366666666666666,8,36.666666666666664,43.333333333333336,93.33333333333333,93.33333333333333,76.66666666666667,100.0,100.0,86.66666666666667,43.333333333333336
T07,human,10,5.2,8,20.0,80.0,80.0,50.0,40.0,80.0,50.0,70.0,70.0
T08,ai,30,6.066666666666666,8,26.666666666666668,63.33333333333333,96.66666666666667,56.666666666666664,73.33333333333333,96.66666666666667,93.33333333333333,70.0,56.666666666666664
T08,human,10,2.8,8,20.0,50.0,30.0,30.0,30.0,40.0,30.0,40.0,30.0
T09,ai,30,6.333333333333333,8,30.0,93.33333333333333,100.0,66.66666666666666,60.0,100.0,70.0,66.66666666666666,76.66666666666667
T09,human,10,4.1,8,20.0,60.0,50.0,40.0,40.0,60.0,40.0,70.0,50.0
T10,ai,30,6.1,8,20.0,46.666666666666664,100.0,80.0,83.33333333333334,100.0,86.66666666666667,66.66666666666666,46.666666666666664
T10,human,10,6.3,8,30.0,80.0,80.0,80.0,60.0,90.0,80.0,80.0,80.0
T11,ai,30,5.833333333333333,8,30.0,50.0,100.0,73.33333333333333,53.333333333333336,96.66666666666667,96.66666666666667,66.66666666666666,46.666666666666664
T11,human,10,4.7,8,20.0,50.0,50.0,60.0,30.0,80.0,80.0,80.0,40.0
T12,ai,30,5.666666666666667,8,10.0,26.666666666666668,96.66666666666667,76.66666666666667,73.33333333333333,100.0,96.66666666666667,73.33333333333333,23.333333333333332
T12,human,10,5.5,8,30.0,60.0,80.0,60.0,60.0,80.0,80.0,90.0,40.0
